sample_idx,layer,original_word,scrambled_word,cos_sim
1,0,significant,siiifgcnant,0.02636861
1,1,significant,siiifgcnant,0.15877254
1,2,significant,siiifgcnant,0.19737777
1,3,significant,siiifgcnant,0.27108455
1,4,significant,siiifgcnant,0.31599647
1,5,significant,siiifgcnant,0.33464262
1,6,significant,siiifgcnant,0.3495751
1,7,significant,siiifgcnant,0.37672505
1,8,significant,siiifgcnant,0.40945548
1,9,significant,siiifgcnant,0.42834222
1,10,significant,siiifgcnant,0.51334417
1,11,significant,siiifgcnant,0.5185054
1,12,significant,siiifgcnant,0.55842924
1,13,significant,siiifgcnant,0.63506895
1,14,significant,siiifgcnant,0.62602144
1,15,significant,siiifgcnant,0.63900673
1,16,significant,siiifgcnant,0.6968045
4,0,Christopher,Cthosirpher,0.088954285
4,1,Christopher,Cthosirpher,0.14906704
4,2,Christopher,Cthosirpher,0.1579049
4,3,Christopher,Cthosirpher,0.2564559
4,4,Christopher,Cthosirpher,0.25999254
4,5,Christopher,Cthosirpher,0.322501
4,6,Christopher,Cthosirpher,0.35053867
4,7,Christopher,Cthosirpher,0.38589618
4,8,Christopher,Cthosirpher,0.4051341
4,9,Christopher,Cthosirpher,0.381791
4,10,Christopher,Cthosirpher,0.373416
4,11,Christopher,Cthosirpher,0.34539497
4,12,Christopher,Cthosirpher,0.36018336
4,13,Christopher,Cthosirpher,0.37988085
4,14,Christopher,Cthosirpher,0.47839934
4,15,Christopher,Cthosirpher,0.54294235
4,16,Christopher,Cthosirpher,0.602201
7,0,Destination,Desitntaion,0.04852901
7,1,Destination,Desitntaion,0.13540354
7,2,Destination,Desitntaion,0.19418742
7,3,Destination,Desitntaion,0.2286335
7,4,Destination,Desitntaion,0.31133962
7,5,Destination,Desitntaion,0.35978806
7,6,Destination,Desitntaion,0.5139195
7,7,Destination,Desitntaion,0.56851375
7,8,Destination,Desitntaion,0.6372198
7,9,Destination,Desitntaion,0.60712504
7,10,Destination,Desitntaion,0.607684
7,11,Destination,Desitntaion,0.58354616
7,12,Destination,Desitntaion,0.56165063
7,13,Destination,Desitntaion,0.55701005
7,14,Destination,Desitntaion,0.6502916
7,15,Destination,Desitntaion,0.68994856
7,16,Destination,Desitntaion,0.6662888
8,0,compression,compsoiesrn,0.04152378
8,1,compression,compsoiesrn,0.09613231
8,2,compression,compsoiesrn,0.1294164
8,3,compression,compsoiesrn,0.21381094
8,4,compression,compsoiesrn,0.25660035
8,5,compression,compsoiesrn,0.29533055
8,6,compression,compsoiesrn,0.3031256
8,7,compression,compsoiesrn,0.28225905
8,8,compression,compsoiesrn,0.35481432
8,9,compression,compsoiesrn,0.36460006
8,10,compression,compsoiesrn,0.42398405
8,11,compression,compsoiesrn,0.37551147
8,12,compression,compsoiesrn,0.44612196
8,13,compression,compsoiesrn,0.50040185
8,14,compression,compsoiesrn,0.56526196
8,15,compression,compsoiesrn,0.6019076
8,16,compression,compsoiesrn,0.7162931
9,0,represented,repesrnteed,0.0074108783
9,1,represented,repesrnteed,0.11900686
9,2,represented,repesrnteed,0.13810478
9,3,represented,repesrnteed,0.27922708
9,4,represented,repesrnteed,0.38649008
9,5,represented,repesrnteed,0.4155987
9,6,represented,repesrnteed,0.4262638
9,7,represented,repesrnteed,0.46444643
9,8,represented,repesrnteed,0.4892922
9,9,represented,repesrnteed,0.57137364
9,10,represented,repesrnteed,0.6269461
9,11,represented,repesrnteed,0.6437825
9,12,represented,repesrnteed,0.6730012
9,13,represented,repesrnteed,0.7359556
9,14,represented,repesrnteed,0.7686133
9,15,represented,repesrnteed,0.78804266
9,16,represented,repesrnteed,0.84887826
10,0,International,Intoantienral,-0.0020471332
10,1,International,Intoantienral,0.16806367
10,2,International,Intoantienral,0.16455428
10,3,International,Intoantienral,0.18172744
10,4,International,Intoantienral,0.34375143
10,5,International,Intoantienral,0.46214828
10,6,International,Intoantienral,0.53506225
10,7,International,Intoantienral,0.54927194
10,8,International,Intoantienral,0.62611175
10,9,International,Intoantienral,0.64122844
10,10,International,Intoantienral,0.7042049
10,11,International,Intoantienral,0.72505856
10,12,International,Intoantienral,0.75070536
10,13,International,Intoantienral,0.756272
10,14,International,Intoantienral,0.7721659
10,15,International,Intoantienral,0.78093684
10,16,International,Intoantienral,0.7641157
11,0,construction,ctocunsrtion,0.024284108
11,1,construction,ctocunsrtion,0.11198133
11,2,construction,ctocunsrtion,0.22396348
11,3,construction,ctocunsrtion,0.24342388
11,4,construction,ctocunsrtion,0.36427975
11,5,construction,ctocunsrtion,0.44049633
11,6,construction,ctocunsrtion,0.46029276
11,7,construction,ctocunsrtion,0.49203646
11,8,construction,ctocunsrtion,0.5861789
11,9,construction,ctocunsrtion,0.6008704
11,10,construction,ctocunsrtion,0.7226198
11,11,construction,ctocunsrtion,0.7271749
11,12,construction,ctocunsrtion,0.7403341
11,13,construction,ctocunsrtion,0.77300036
11,14,construction,ctocunsrtion,0.79639566
11,15,construction,ctocunsrtion,0.8132877
11,16,construction,ctocunsrtion,0.8622589
12,0,Introduction,Intiduotcron,0.055088166
12,1,Introduction,Intiduotcron,0.12716837
12,2,Introduction,Intiduotcron,0.11066376
12,3,Introduction,Intiduotcron,0.19438592
12,4,Introduction,Intiduotcron,0.21993697
12,5,Introduction,Intiduotcron,0.3012079
12,6,Introduction,Intiduotcron,0.34427172
12,7,Introduction,Intiduotcron,0.35680485
12,8,Introduction,Intiduotcron,0.39434642
12,9,Introduction,Intiduotcron,0.3555514
12,10,Introduction,Intiduotcron,0.41998947
12,11,Introduction,Intiduotcron,0.4129268
12,12,Introduction,Intiduotcron,0.48174995
12,13,Introduction,Intiduotcron,0.5439595
12,14,Introduction,Intiduotcron,0.5956734
12,15,Introduction,Intiduotcron,0.616426
12,16,Introduction,Intiduotcron,0.69278044
14,0,development,devepemlont,0.0685925
14,1,development,devepemlont,0.1369296
14,2,development,devepemlont,0.12042709
14,3,development,devepemlont,0.24543458
14,4,development,devepemlont,0.25322744
14,5,development,devepemlont,0.3114965
14,6,development,devepemlont,0.35610828
14,7,development,devepemlont,0.37385112
14,8,development,devepemlont,0.4373434
14,9,development,devepemlont,0.43490553
14,10,development,devepemlont,0.4945757
14,11,development,devepemlont,0.45018804
14,12,development,devepemlont,0.46095952
14,13,development,devepemlont,0.5195047
14,14,development,devepemlont,0.5658886
14,15,development,devepemlont,0.61593527
14,16,development,devepemlont,0.7625929
15,0,engineering,eegninering,0.10821766
15,1,engineering,eegninering,0.24326311
15,2,engineering,eegninering,0.32348084
15,3,engineering,eegninering,0.44929016
15,4,engineering,eegninering,0.43523026
15,5,engineering,eegninering,0.49560818
15,6,engineering,eegninering,0.6180288
15,7,engineering,eegninering,0.6321298
15,8,engineering,eegninering,0.6932247
15,9,engineering,eegninering,0.6857132
15,10,engineering,eegninering,0.7560667
15,11,engineering,eegninering,0.7774913
15,12,engineering,eegninering,0.81137764
15,13,engineering,eegninering,0.8461992
15,14,engineering,eegninering,0.84639686
15,15,engineering,eegninering,0.86848515
15,16,engineering,eegninering,0.91853666
22,0,performance,permofarnce,0.012773442
22,1,performance,permofarnce,0.13128996
22,2,performance,permofarnce,0.21266976
22,3,performance,permofarnce,0.28714985
22,4,performance,permofarnce,0.30302078
22,5,performance,permofarnce,0.3875283
22,6,performance,permofarnce,0.45867905
22,7,performance,permofarnce,0.46263698
22,8,performance,permofarnce,0.5561968
22,9,performance,permofarnce,0.63649917
22,10,performance,permofarnce,0.71637964
22,11,performance,permofarnce,0.76180774
22,12,performance,permofarnce,0.7785177
22,13,performance,permofarnce,0.8034278
22,14,performance,permofarnce,0.8168403
22,15,performance,permofarnce,0.8403491
22,16,performance,permofarnce,0.88272095
23,0,distributed,diibtrsuted,0.06433467
23,1,distributed,diibtrsuted,0.20783204
23,2,distributed,diibtrsuted,0.3640503
23,3,distributed,diibtrsuted,0.5666735
23,4,distributed,diibtrsuted,0.6795045
23,5,distributed,diibtrsuted,0.7781383
23,6,distributed,diibtrsuted,0.8240916
23,7,distributed,diibtrsuted,0.8379351
23,8,distributed,diibtrsuted,0.86438406
23,9,distributed,diibtrsuted,0.8646308
23,10,distributed,diibtrsuted,0.8764978
23,11,distributed,diibtrsuted,0.8946488
23,12,distributed,diibtrsuted,0.89091694
23,13,distributed,diibtrsuted,0.8951483
23,14,distributed,diibtrsuted,0.9037625
23,15,distributed,diibtrsuted,0.9064288
23,16,distributed,diibtrsuted,0.94330955
25,0,Traditional,Traidtional,0.099088416
25,1,Traditional,Traidtional,0.28105775
25,2,Traditional,Traidtional,0.2531789
25,3,Traditional,Traidtional,0.54104865
25,4,Traditional,Traidtional,0.6130144
25,5,Traditional,Traidtional,0.61300206
