sample_idx,layer,original_word,scrambled_word,cos_sim
1,0,significant,siginficant,0.02636861
1,1,significant,siginficant,0.16693524
1,2,significant,siginficant,0.2937243
1,3,significant,siginficant,0.4394626
1,4,significant,siginficant,0.52421284
1,5,significant,siginficant,0.5669549
1,6,significant,siginficant,0.66221094
1,7,significant,siginficant,0.6949791
1,8,significant,siginficant,0.73311687
1,9,significant,siginficant,0.76917714
1,10,significant,siginficant,0.8187169
1,11,significant,siginficant,0.8539006
1,12,significant,siginficant,0.8512303
1,13,significant,siginficant,0.87495583
1,14,significant,siginficant,0.8731432
1,15,significant,siginficant,0.8761549
1,16,significant,siginficant,0.91908514
4,0,Christopher,Chtirsopher,0.14620107
4,1,Christopher,Chtirsopher,0.30884165
4,2,Christopher,Chtirsopher,0.27584702
4,3,Christopher,Chtirsopher,0.4205674
4,4,Christopher,Chtirsopher,0.46986076
4,5,Christopher,Chtirsopher,0.50918216
4,6,Christopher,Chtirsopher,0.67249256
4,7,Christopher,Chtirsopher,0.70736814
4,8,Christopher,Chtirsopher,0.73252773
4,9,Christopher,Chtirsopher,0.72090805
4,10,Christopher,Chtirsopher,0.73748964
4,11,Christopher,Chtirsopher,0.7438745
4,12,Christopher,Chtirsopher,0.7553879
4,13,Christopher,Chtirsopher,0.7623975
4,14,Christopher,Chtirsopher,0.8120643
4,15,Christopher,Chtirsopher,0.82517487
4,16,Christopher,Chtirsopher,0.8676784
7,0,Destination,Detisnation,0.179894
7,1,Destination,Detisnation,0.27394295
7,2,Destination,Detisnation,0.26562017
7,3,Destination,Detisnation,0.37584007
7,4,Destination,Detisnation,0.42757013
7,5,Destination,Detisnation,0.43151373
7,6,Destination,Detisnation,0.545295
7,7,Destination,Detisnation,0.5524604
7,8,Destination,Detisnation,0.6085888
7,9,Destination,Detisnation,0.5690706
7,10,Destination,Detisnation,0.60308766
7,11,Destination,Detisnation,0.5722053
7,12,Destination,Detisnation,0.5625049
7,13,Destination,Detisnation,0.5900872
7,14,Destination,Detisnation,0.67843866
7,15,Destination,Detisnation,0.7267361
7,16,Destination,Detisnation,0.8002663
8,0,compression,compresosin,-0.039114524
8,1,compression,compresosin,0.144169
8,2,compression,compresosin,0.20900056
8,3,compression,compresosin,0.28232396
8,4,compression,compresosin,0.30549806
8,5,compression,compresosin,0.34455818
8,6,compression,compresosin,0.3791982
8,7,compression,compresosin,0.39357692
8,8,compression,compresosin,0.40895495
8,9,compression,compresosin,0.4364725
8,10,compression,compresosin,0.53539264
8,11,compression,compresosin,0.49440002
8,12,compression,compresosin,0.5538443
8,13,compression,compresosin,0.60408396
8,14,compression,compresosin,0.6569187
8,15,compression,compresosin,0.66857076
8,16,compression,compresosin,0.7730417
9,0,represented,repreesnted,-0.0141790155
9,1,represented,repreesnted,0.225294
9,2,represented,repreesnted,0.42664078
9,3,represented,repreesnted,0.66608673
9,4,represented,repreesnted,0.6981625
9,5,represented,repreesnted,0.6815729
9,6,represented,repreesnted,0.7485863
9,7,represented,repreesnted,0.7640841
9,8,represented,repreesnted,0.8069651
9,9,represented,repreesnted,0.82380605
9,10,represented,repreesnted,0.85344356
9,11,represented,repreesnted,0.8820089
9,12,represented,repreesnted,0.8903545
9,13,represented,repreesnted,0.900581
9,14,represented,repreesnted,0.8926815
9,15,represented,repreesnted,0.8906054
9,16,represented,repreesnted,0.89800644
10,0,International,Interitanonal,0.029318927
10,1,International,Interitanonal,0.20419392
10,2,International,Interitanonal,0.17697695
10,3,International,Interitanonal,0.3119488
10,4,International,Interitanonal,0.39475015
10,5,International,Interitanonal,0.47389162
10,6,International,Interitanonal,0.53206384
10,7,International,Interitanonal,0.5481099
10,8,International,Interitanonal,0.5727066
10,9,International,Interitanonal,0.60406566
10,10,International,Interitanonal,0.66872966
10,11,International,Interitanonal,0.7174876
10,12,International,Interitanonal,0.74265707
10,13,International,Interitanonal,0.75490904
10,14,International,Interitanonal,0.78541327
10,15,International,Interitanonal,0.8005967
10,16,International,Interitanonal,0.81982595
11,0,construction,costnruction,0.10832985
11,1,construction,costnruction,0.32664096
11,2,construction,costnruction,0.4132689
11,3,construction,costnruction,0.5314357
11,4,construction,costnruction,0.63024414
11,5,construction,costnruction,0.6440041
11,6,construction,costnruction,0.680785
11,7,construction,costnruction,0.7211441
11,8,construction,costnruction,0.7677342
11,9,construction,costnruction,0.79681504
11,10,construction,costnruction,0.8437836
11,11,construction,costnruction,0.85566944
11,12,construction,costnruction,0.87113273
11,13,construction,costnruction,0.8976357
11,14,construction,costnruction,0.9045357
11,15,construction,costnruction,0.91187954
11,16,construction,costnruction,0.93474
12,0,Introduction,Indourtction,0.04827141
12,1,Introduction,Indourtction,0.1708645
12,2,Introduction,Indourtction,0.23230313
12,3,Introduction,Indourtction,0.28285837
12,4,Introduction,Indourtction,0.3073334
12,5,Introduction,Indourtction,0.3943471
12,6,Introduction,Indourtction,0.5540495
12,7,Introduction,Indourtction,0.5935489
12,8,Introduction,Indourtction,0.6571982
12,9,Introduction,Indourtction,0.66675925
12,10,Introduction,Indourtction,0.71219456
12,11,Introduction,Indourtction,0.7129783
12,12,Introduction,Indourtction,0.752974
12,13,Introduction,Indourtction,0.8015434
12,14,Introduction,Indourtction,0.81316096
12,15,Introduction,Indourtction,0.8301704
12,16,Introduction,Indourtction,0.918679
14,0,development,devemolpent,0.0034942077
14,1,development,devemolpent,0.13278823
14,2,development,devemolpent,0.16971587
14,3,development,devemolpent,0.32423332
14,4,development,devemolpent,0.36982268
14,5,development,devemolpent,0.4385053
14,6,development,devemolpent,0.5254321
14,7,development,devemolpent,0.50262666
14,8,development,devemolpent,0.5759457
14,9,development,devemolpent,0.6060025
14,10,development,devemolpent,0.6688592
14,11,development,devemolpent,0.6856078
14,12,development,devemolpent,0.68295777
14,13,development,devemolpent,0.7366959
14,14,development,devemolpent,0.7747087
14,15,development,devemolpent,0.8138281
14,16,development,devemolpent,0.9079213
15,0,engineering,engierening,0.046242952
15,1,engineering,engierening,0.25286138
15,2,engineering,engierening,0.34102124
15,3,engineering,engierening,0.37734115
15,4,engineering,engierening,0.41073155
15,5,engineering,engierening,0.41137245
15,6,engineering,engierening,0.44609267
15,7,engineering,engierening,0.45586777
15,8,engineering,engierening,0.5053121
15,9,engineering,engierening,0.5367042
15,10,engineering,engierening,0.6085832
15,11,engineering,engierening,0.6061312
15,12,engineering,engierening,0.635509
15,13,engineering,engierening,0.6737124
15,14,engineering,engierening,0.6933851
15,15,engineering,engierening,0.73434055
15,16,engineering,engierening,0.7764003
22,0,performance,perforamnce,0.042455573
22,1,performance,perforamnce,0.112828195
22,2,performance,perforamnce,0.23960587
22,3,performance,perforamnce,0.39652306
22,4,performance,perforamnce,0.48199794
22,5,performance,perforamnce,0.6124769
22,6,performance,perforamnce,0.7142123
22,7,performance,perforamnce,0.73192257
22,8,performance,perforamnce,0.7702242
22,9,performance,perforamnce,0.7836473
22,10,performance,perforamnce,0.8448768
22,11,performance,perforamnce,0.8351549
22,12,performance,perforamnce,0.8254502
22,13,performance,perforamnce,0.85721254
22,14,performance,perforamnce,0.8870632
22,15,performance,perforamnce,0.90855426
22,16,performance,perforamnce,0.95932233
23,0,distributed,distibruted,0.06433467
23,1,distributed,distibruted,0.27109587
23,2,distributed,distibruted,0.48262608
23,3,distributed,distibruted,0.6015285
23,4,distributed,distibruted,0.6271417
23,5,distributed,distibruted,0.64277875
23,6,distributed,distibruted,0.6925876
23,7,distributed,distibruted,0.70750415
23,8,distributed,distibruted,0.74826366
23,9,distributed,distibruted,0.78797805
23,10,distributed,distibruted,0.7927457
23,11,distributed,distibruted,0.8026925
23,12,distributed,distibruted,0.8104874
23,13,distributed,distibruted,0.829395
23,14,distributed,distibruted,0.8468883
23,15,distributed,distibruted,0.8626856
23,16,distributed,distibruted,0.93100095
25,0,Traditional,Tairdtional,0.099088416
25,1,Traditional,Tairdtional,0.28490728
25,2,Traditional,Tairdtional,0.30163047
25,3,Traditional,Tairdtional,0.41214752
25,4,Traditional,Tairdtional,0.51821315
25,5,Traditional,Tairdtional,0.52750754
25,6,Traditional,Tairdtional,0.6400684
25,7,Traditional,Tairdtional,0.64927536
25,8,Traditional,Tairdtional,0.6765956
25,9,Traditional,Tairdtional,0.68383837
25,10,Traditional,Tairdtional,0.71283627
25,11,Traditional,Tairdtional,0.7201264
25,12,Traditional,Tairdtional,0.75080144
25,13,Traditional,Tairdtional,0.779194
25,14,Traditional,Tairdtional,0.80975676
25,15,Traditional,Tairdtional,0.81621695
25,16,Traditional,Tairdtional,0.8366151
26,0,International,Internaantiol,0.008655992
26,1,International,Internaantiol,0.16520768
26,2,International,Internaantiol,0.12606391
26,3,International,Internaantiol,0.22806233
26,4,International,Internaantiol,0.30746636
26,5,International,Internaantiol,0.3513956
26,6,International,Internaantiol,0.42975008
26,7,International,Internaantiol,0.43549424
26,8,International,Internaantiol,0.48912752
26,9,International,Internaantiol,0.4788683
26,10,International,Internaantiol,0.5666279
26,11,International,Internaantiol,0.5507704
26,12,International,Internaantiol,0.5733342
26,13,International,Internaantiol,0.59306276
26,14,International,Internaantiol,0.6342443
26,15,International,Internaantiol,0.6507018
26,16,International,Internaantiol,0.6773318
29,0,restaurants,restanuarts,0.0547806
29,1,restaurants,restanuarts,0.14836037
29,2,restaurants,restanuarts,0.17280003
29,3,restaurants,restanuarts,0.44341078
29,4,restaurants,restanuarts,0.422354
29,5,restaurants,restanuarts,0.5293517
29,6,restaurants,restanuarts,0.5447624
29,7,restaurants,restanuarts,0.57678056
29,8,restaurants,restanuarts,0.6497269
29,9,restaurants,restanuarts,0.64089286
29,10,restaurants,restanuarts,0.732207
29,11,restaurants,restanuarts,0.73527133
29,12,restaurants,restanuarts,0.7399961
29,13,restaurants,restanuarts,0.7921907
29,14,restaurants,restanuarts,0.8268116
29,15,restaurants,restanuarts,0.8572649
29,16,restaurants,restanuarts,0.94444627
32,0,significant,signicfaint,-0.01212305
32,1,significant,signicfaint,0.12640001
32,2,significant,signicfaint,0.16042967
32,3,significant,signicfaint,0.29173595
32,4,significant,signicfaint,0.3557689
32,5,significant,signicfaint,0.40050638
32,6,significant,signicfaint,0.45579994
32,7,significant,signicfaint,0.472252
32,8,significant,signicfaint,0.4912686
32,9,significant,signicfaint,0.5208618
32,10,significant,signicfaint,0.5709724
32,11,significant,signicfaint,0.5596044
32,12,significant,signicfaint,0.6071923
32,13,significant,signicfaint,0.6607903
32,14,significant,signicfaint,0.675058
32,15,significant,signicfaint,0.72478133
32,16,significant,signicfaint,0.8134762
34,0,forgettable,fogrettable,1.0000006
34,1,forgettable,fogrettable,0.7750876
34,2,forgettable,fogrettable,0.6255088
34,3,forgettable,fogrettable,0.6286748
34,4,forgettable,fogrettable,0.5876822
34,5,forgettable,fogrettable,0.58943325
34,6,forgettable,fogrettable,0.63962984
34,7,forgettable,fogrettable,0.63954043
34,8,forgettable,fogrettable,0.66460437
34,9,forgettable,fogrettable,0.6779685
34,10,forgettable,fogrettable,0.7387618
34,11,forgettable,fogrettable,0.76354694
34,12,forgettable,fogrettable,0.7593313
34,13,forgettable,fogrettable,0.7970498
34,14,forgettable,fogrettable,0.8045157
34,15,forgettable,fogrettable,0.8169178
34,16,forgettable,fogrettable,0.87933487
40,0,application,appcailtion,0.072349526
40,1,application,appcailtion,0.19924511
40,2,application,appcailtion,0.28784302
40,3,application,appcailtion,0.4289439
40,4,application,appcailtion,0.5264608
40,5,application,appcailtion,0.5608575
40,6,application,appcailtion,0.6412764
40,7,application,appcailtion,0.6686048
40,8,application,appcailtion,0.6929468
40,9,application,appcailtion,0.7189539
40,10,application,appcailtion,0.77124935
40,11,application,appcailtion,0.8002012
40,12,application,appcailtion,0.82696784
40,13,application,appcailtion,0.8553785
40,14,application,appcailtion,0.8718347
40,15,application,appcailtion,0.89128035
40,16,application,appcailtion,0.9163241
42,0,distribution,disttuirbion,0.027040526
42,1,distribution,disttuirbion,0.17508212
42,2,distribution,disttuirbion,0.23342364
42,3,distribution,disttuirbion,0.30918574
42,4,distribution,disttuirbion,0.36844552
42,5,distribution,disttuirbion,0.4092671
42,6,distribution,disttuirbion,0.39402884
42,7,distribution,disttuirbion,0.44619012
42,8,distribution,disttuirbion,0.52317417
42,9,distribution,disttuirbion,0.52723074
42,10,distribution,disttuirbion,0.5892887
42,11,distribution,disttuirbion,0.57295734
42,12,distribution,disttuirbion,0.62638235
42,13,distribution,disttuirbion,0.6858474
42,14,distribution,disttuirbion,0.7336418
42,15,distribution,disttuirbion,0.76628256
42,16,distribution,disttuirbion,0.8642115
44,0,international,itnnerational,0.104919985
44,1,international,itnnerational,0.3185444
44,2,international,itnnerational,0.3533001
44,3,international,itnnerational,0.5125154
44,4,international,itnnerational,0.55668306
44,5,international,itnnerational,0.5629996
44,6,international,itnnerational,0.62228096
44,7,international,itnnerational,0.64914787
44,8,international,itnnerational,0.683412
44,9,international,itnnerational,0.7180476
44,10,international,itnnerational,0.7895581
44,11,international,itnnerational,0.8225004
44,12,international,itnnerational,0.85330254
44,13,international,itnnerational,0.8838634
44,14,international,itnnerational,0.8905355
44,15,international,itnnerational,0.89773333
44,16,international,itnnerational,0.92076695
50,0,construction,conrctustion,0.024284108
50,1,construction,conrctustion,0.16613922
50,2,construction,conrctustion,0.24212822
50,3,construction,conrctustion,0.39206696
50,4,construction,conrctustion,0.50244373
50,5,construction,conrctustion,0.5837325
50,6,construction,conrctustion,0.53697085
50,7,construction,conrctustion,0.59277076
50,8,construction,conrctustion,0.6656343
50,9,construction,conrctustion,0.6371013
50,10,construction,conrctustion,0.75461555
50,11,construction,conrctustion,0.7619697
50,12,construction,conrctustion,0.7732976
50,13,construction,conrctustion,0.81928647
50,14,construction,conrctustion,0.83020663
50,15,construction,conrctustion,0.85334873
50,16,construction,conrctustion,0.8988743
51,0,architecture,artehiccture,0.037977938
51,1,architecture,artehiccture,0.21681151
51,2,architecture,artehiccture,0.3385379
51,3,architecture,artehiccture,0.5186015
51,4,architecture,artehiccture,0.6207087
51,5,architecture,artehiccture,0.6630075
51,6,architecture,artehiccture,0.73759115
51,7,architecture,artehiccture,0.78743714
51,8,architecture,artehiccture,0.82329553
51,9,architecture,artehiccture,0.8261992
51,10,architecture,artehiccture,0.85961413
51,11,architecture,artehiccture,0.87660664
51,12,architecture,artehiccture,0.8815212
51,13,architecture,artehiccture,0.89116514
51,14,architecture,artehiccture,0.89662874
51,15,architecture,artehiccture,0.89327765
51,16,architecture,artehiccture,0.9034879
56,0,appointment,appoinnmett,-0.027251286
56,1,appointment,appoinnmett,0.11547668
56,2,appointment,appoinnmett,0.1713156
56,3,appointment,appoinnmett,0.19797212
56,4,appointment,appoinnmett,0.27578673
56,5,appointment,appoinnmett,0.3247254
56,6,appointment,appoinnmett,0.40165126
56,7,appointment,appoinnmett,0.41130447
