sample_idx,layer,original_word,scrambled_word,cos_sim
1,0,significant,sniaifncigt,0.021526607
1,1,significant,sniaifncigt,0.13174552
1,2,significant,sniaifncigt,0.1588355
1,3,significant,sniaifncigt,0.28446764
1,4,significant,sniaifncigt,0.30275923
1,5,significant,sniaifncigt,0.3062898
1,6,significant,sniaifncigt,0.29940182
1,7,significant,sniaifncigt,0.29692787
1,8,significant,sniaifncigt,0.29327977
1,9,significant,sniaifncigt,0.29466975
1,10,significant,sniaifncigt,0.35217115
1,11,significant,sniaifncigt,0.33848384
1,12,significant,sniaifncigt,0.36806652
1,13,significant,sniaifncigt,0.44222856
1,14,significant,sniaifncigt,0.43999738
1,15,significant,sniaifncigt,0.4549316
1,16,significant,sniaifncigt,0.54061925
4,0,Christopher,Chiethpsorr,0.033659168
4,1,Christopher,Chiethpsorr,0.063672654
4,2,Christopher,Chiethpsorr,0.08917189
4,3,Christopher,Chiethpsorr,0.19388512
4,4,Christopher,Chiethpsorr,0.23392533
4,5,Christopher,Chiethpsorr,0.26473427
4,6,Christopher,Chiethpsorr,0.33783424
4,7,Christopher,Chiethpsorr,0.3646678
4,8,Christopher,Chiethpsorr,0.3647309
4,9,Christopher,Chiethpsorr,0.29997933
4,10,Christopher,Chiethpsorr,0.28793716
4,11,Christopher,Chiethpsorr,0.24419203
4,12,Christopher,Chiethpsorr,0.26385108
4,13,Christopher,Chiethpsorr,0.2892594
4,14,Christopher,Chiethpsorr,0.40162915
4,15,Christopher,Chiethpsorr,0.45825398
4,16,Christopher,Chiethpsorr,0.5368856
7,0,Destination,Dsiietnaotn,-0.063078865
7,1,Destination,Dsiietnaotn,0.11180808
7,2,Destination,Dsiietnaotn,0.07758515
7,3,Destination,Dsiietnaotn,0.107601605
7,4,Destination,Dsiietnaotn,0.16966262
7,5,Destination,Dsiietnaotn,0.2207782
7,6,Destination,Dsiietnaotn,0.3051319
7,7,Destination,Dsiietnaotn,0.33562243
7,8,Destination,Dsiietnaotn,0.40886837
7,9,Destination,Dsiietnaotn,0.34751534
7,10,Destination,Dsiietnaotn,0.35030174
7,11,Destination,Dsiietnaotn,0.27727422
7,12,Destination,Dsiietnaotn,0.28371114
7,13,Destination,Dsiietnaotn,0.32176188
7,14,Destination,Dsiietnaotn,0.46712238
7,15,Destination,Dsiietnaotn,0.542371
7,16,Destination,Dsiietnaotn,0.534969
8,0,compression,coeomsprisn,-0.061996356
8,1,compression,coeomsprisn,0.12251143
8,2,compression,coeomsprisn,0.100985184
8,3,compression,coeomsprisn,0.16554299
8,4,compression,coeomsprisn,0.25638992
8,5,compression,coeomsprisn,0.2786892
8,6,compression,coeomsprisn,0.34382993
8,7,compression,coeomsprisn,0.3438518
8,8,compression,coeomsprisn,0.44397685
8,9,compression,coeomsprisn,0.4497431
8,10,compression,coeomsprisn,0.530113
8,11,compression,coeomsprisn,0.49758863
8,12,compression,coeomsprisn,0.5508769
8,13,compression,coeomsprisn,0.5926721
8,14,compression,coeomsprisn,0.65167266
8,15,compression,coeomsprisn,0.667683
8,16,compression,coeomsprisn,0.7792544
9,0,represented,reesentrepd,-0.014408086
9,1,represented,reesentrepd,0.16379797
9,2,represented,reesentrepd,0.17963356
9,3,represented,reesentrepd,0.2666142
9,4,represented,reesentrepd,0.2878191
9,5,represented,reesentrepd,0.34294078
9,6,represented,reesentrepd,0.38102502
9,7,represented,reesentrepd,0.4390158
9,8,represented,reesentrepd,0.48386467
9,9,represented,reesentrepd,0.57003736
9,10,represented,reesentrepd,0.6246512
9,11,represented,reesentrepd,0.61829543
9,12,represented,reesentrepd,0.62670565
9,13,represented,reesentrepd,0.68123055
9,14,represented,reesentrepd,0.6806134
9,15,represented,reesentrepd,0.6833044
9,16,represented,reesentrepd,0.71929747
10,0,International,Iarenitontanl,0.02266765
10,1,International,Iarenitontanl,0.18060511
10,2,International,Iarenitontanl,0.13035807
10,3,International,Iarenitontanl,0.14614448
10,4,International,Iarenitontanl,0.29207224
10,5,International,Iarenitontanl,0.28401846
10,6,International,Iarenitontanl,0.29696912
10,7,International,Iarenitontanl,0.33340877
10,8,International,Iarenitontanl,0.3765531
10,9,International,Iarenitontanl,0.40816146
10,10,International,Iarenitontanl,0.49972537
10,11,International,Iarenitontanl,0.5004925
10,12,International,Iarenitontanl,0.5604768
10,13,International,Iarenitontanl,0.5589052
10,14,International,Iarenitontanl,0.5987319
10,15,International,Iarenitontanl,0.6089843
10,16,International,Iarenitontanl,0.6191361
11,0,construction,ctunosotricn,-0.011919891
11,1,construction,ctunosotricn,0.1339812
11,2,construction,ctunosotricn,0.17629743
11,3,construction,ctunosotricn,0.21388093
11,4,construction,ctunosotricn,0.26210365
11,5,construction,ctunosotricn,0.2794988
11,6,construction,ctunosotricn,0.2982965
11,7,construction,ctunosotricn,0.32664388
11,8,construction,ctunosotricn,0.32553673
11,9,construction,ctunosotricn,0.36780703
11,10,construction,ctunosotricn,0.50662065
11,11,construction,ctunosotricn,0.49113804
11,12,construction,ctunosotricn,0.5268811
11,13,construction,ctunosotricn,0.54857624
11,14,construction,ctunosotricn,0.58933383
11,15,construction,ctunosotricn,0.6245554
11,16,construction,ctunosotricn,0.69794536
12,0,Introduction,Ictniuoodtrn,-0.007809791
12,1,Introduction,Ictniuoodtrn,0.09505094
12,2,Introduction,Ictniuoodtrn,0.096510194
12,3,Introduction,Ictniuoodtrn,0.18453786
12,4,Introduction,Ictniuoodtrn,0.24431378
12,5,Introduction,Ictniuoodtrn,0.32160702
12,6,Introduction,Ictniuoodtrn,0.35541868
12,7,Introduction,Ictniuoodtrn,0.37380114
12,8,Introduction,Ictniuoodtrn,0.3644988
12,9,Introduction,Ictniuoodtrn,0.34233537
12,10,Introduction,Ictniuoodtrn,0.40531567
12,11,Introduction,Ictniuoodtrn,0.40481764
12,12,Introduction,Ictniuoodtrn,0.48977908
12,13,Introduction,Ictniuoodtrn,0.55907166
12,14,Introduction,Ictniuoodtrn,0.58876795
12,15,Introduction,Ictniuoodtrn,0.5986407
12,16,Introduction,Ictniuoodtrn,0.67425764
14,0,development,dlnemepevot,-0.012622668
14,1,development,dlnemepevot,0.106981866
14,2,development,dlnemepevot,0.17328662
14,3,development,dlnemepevot,0.20385762
14,4,development,dlnemepevot,0.23343953
14,5,development,dlnemepevot,0.26152134
14,6,development,dlnemepevot,0.2986378
14,7,development,dlnemepevot,0.32097846
14,8,development,dlnemepevot,0.36043525
14,9,development,dlnemepevot,0.36296216
14,10,development,dlnemepevot,0.45222378
14,11,development,dlnemepevot,0.4246173
14,12,development,dlnemepevot,0.4464366
14,13,development,dlnemepevot,0.48605314
14,14,development,dlnemepevot,0.5202933
14,15,development,dlnemepevot,0.5674678
14,16,development,dlnemepevot,0.6734153
15,0,engineering,einegrening,0.054197866
15,1,engineering,einegrening,0.17784071
15,2,engineering,einegrening,0.22626083
15,3,engineering,einegrening,0.26797354
15,4,engineering,einegrening,0.29651466
15,5,engineering,einegrening,0.3424437
15,6,engineering,einegrening,0.43512267
15,7,engineering,einegrening,0.4439258
15,8,engineering,einegrening,0.49085873
15,9,engineering,einegrening,0.5043252
15,10,engineering,einegrening,0.59617835
15,11,engineering,einegrening,0.5870133
15,12,engineering,einegrening,0.62435853
15,13,engineering,einegrening,0.67698777
15,14,engineering,einegrening,0.69144946
