sample_idx,layer,original_word,scrambled_word,cos_sim
1,0,significant,siginficant,0.02636861
1,1,significant,siginficant,0.16854706
1,2,significant,siginficant,0.28537178
1,3,significant,siginficant,0.44242898
1,4,significant,siginficant,0.47275946
1,5,significant,siginficant,0.5599964
1,6,significant,siginficant,0.5985535
1,7,significant,siginficant,0.6682507
1,8,significant,siginficant,0.7219609
1,9,significant,siginficant,0.7483297
1,10,significant,siginficant,0.8322724
1,11,significant,siginficant,0.8605114
1,12,significant,siginficant,0.8867793
1,13,significant,siginficant,0.912999
1,14,significant,siginficant,0.9210402
1,15,significant,siginficant,0.9267833
1,16,significant,siginficant,0.9382273
4,0,Christopher,Chtirsopher,0.14620107
4,1,Christopher,Chtirsopher,0.3037635
4,2,Christopher,Chtirsopher,0.29646686
4,3,Christopher,Chtirsopher,0.4497375
4,4,Christopher,Chtirsopher,0.5426172
4,5,Christopher,Chtirsopher,0.5860044
4,6,Christopher,Chtirsopher,0.67665803
4,7,Christopher,Chtirsopher,0.7087815
4,8,Christopher,Chtirsopher,0.74219465
4,9,Christopher,Chtirsopher,0.74467576
4,10,Christopher,Chtirsopher,0.7773276
4,11,Christopher,Chtirsopher,0.77600104
4,12,Christopher,Chtirsopher,0.75579697
4,13,Christopher,Chtirsopher,0.71947926
4,14,Christopher,Chtirsopher,0.72520554
4,15,Christopher,Chtirsopher,0.7479327
4,16,Christopher,Chtirsopher,0.7366472
7,0,Destination,Detisnation,0.179894
7,1,Destination,Detisnation,0.24950561
7,2,Destination,Detisnation,0.25195754
7,3,Destination,Detisnation,0.34855288
7,4,Destination,Detisnation,0.37560648
7,5,Destination,Detisnation,0.3819456
7,6,Destination,Detisnation,0.5354997
7,7,Destination,Detisnation,0.5741569
7,8,Destination,Detisnation,0.6414795
7,9,Destination,Detisnation,0.63074934
7,10,Destination,Detisnation,0.63986504
7,11,Destination,Detisnation,0.61182654
7,12,Destination,Detisnation,0.60728586
7,13,Destination,Detisnation,0.6033994
7,14,Destination,Detisnation,0.6996344
7,15,Destination,Detisnation,0.73382235
7,16,Destination,Detisnation,0.68999827
8,0,compression,compresosin,-0.039114524
8,1,compression,compresosin,0.13190466
8,2,compression,compresosin,0.19507064
8,3,compression,compresosin,0.28407246
8,4,compression,compresosin,0.33562845
8,5,compression,compresosin,0.36035267
8,6,compression,compresosin,0.38416886
8,7,compression,compresosin,0.41568285
8,8,compression,compresosin,0.4699863
8,9,compression,compresosin,0.44142392
8,10,compression,compresosin,0.5307413
8,11,compression,compresosin,0.44095975
8,12,compression,compresosin,0.49507442
8,13,compression,compresosin,0.5191022
8,14,compression,compresosin,0.58215594
8,15,compression,compresosin,0.5887842
8,16,compression,compresosin,0.7026071
10,0,International,Interitanonal,0.029318927
10,1,International,Interitanonal,0.18592577
10,2,International,Interitanonal,0.2062459
10,3,International,Interitanonal,0.255135
10,4,International,Interitanonal,0.36759514
10,5,International,Interitanonal,0.4065037
10,6,International,Interitanonal,0.40586245
10,7,International,Interitanonal,0.43965167
10,8,International,Interitanonal,0.52382416
10,9,International,Interitanonal,0.5806468
10,10,International,Interitanonal,0.67865974
10,11,International,Interitanonal,0.73292595
10,12,International,Interitanonal,0.75267774
10,13,International,Interitanonal,0.7920668
10,14,International,Interitanonal,0.81697404
10,15,International,Interitanonal,0.8310953
10,16,International,Interitanonal,0.85791844
11,0,construction,costnruction,0.10832985
11,1,construction,costnruction,0.31875426
11,2,construction,costnruction,0.3961171
11,3,construction,costnruction,0.51397663
11,4,construction,costnruction,0.62034994
11,5,construction,costnruction,0.65910447
11,6,construction,costnruction,0.71496034
11,7,construction,costnruction,0.7691803
11,8,construction,costnruction,0.83148146
11,9,construction,costnruction,0.81469434
11,10,construction,costnruction,0.86695796
11,11,construction,costnruction,0.8785606
11,12,construction,costnruction,0.8976133
11,13,construction,costnruction,0.9164865
11,14,construction,costnruction,0.92304945
11,15,construction,costnruction,0.93163836
11,16,construction,costnruction,0.9401603
12,0,Introduction,Indourtction,0.04827141
12,1,Introduction,Indourtction,0.1661318
12,2,Introduction,Indourtction,0.21631797
12,3,Introduction,Indourtction,0.28742063
12,4,Introduction,Indourtction,0.3168682
12,5,Introduction,Indourtction,0.394263
12,6,Introduction,Indourtction,0.53010297
12,7,Introduction,Indourtction,0.5619956
12,8,Introduction,Indourtction,0.6518843
12,9,Introduction,Indourtction,0.6361723
12,10,Introduction,Indourtction,0.681686
12,11,Introduction,Indourtction,0.6854042
