sample_idx,layer,original_word,scrambled_word,cos_sim
1,0,significant,siginficant,0.02636861
1,1,significant,siginficant,0.16575795
1,2,significant,siginficant,0.29035813
1,3,significant,siginficant,0.43709633
1,4,significant,siginficant,0.5199205
1,5,significant,siginficant,0.5639903
1,6,significant,siginficant,0.6501358
1,7,significant,siginficant,0.6875317
1,8,significant,siginficant,0.7259161
1,9,significant,siginficant,0.7626654
1,10,significant,siginficant,0.81605935
1,11,significant,siginficant,0.849002
1,12,significant,siginficant,0.8475232
1,13,significant,siginficant,0.87193847
1,14,significant,siginficant,0.8679954
1,15,significant,siginficant,0.8695071
1,16,significant,siginficant,0.9113089
4,0,Christopher,Chtirsopher,0.14620107
4,1,Christopher,Chtirsopher,0.30982152
4,2,Christopher,Chtirsopher,0.29293957
4,3,Christopher,Chtirsopher,0.44576353
4,4,Christopher,Chtirsopher,0.5213144
4,5,Christopher,Chtirsopher,0.55583024
4,6,Christopher,Chtirsopher,0.677161
4,7,Christopher,Chtirsopher,0.70364285
4,8,Christopher,Chtirsopher,0.73335135
4,9,Christopher,Chtirsopher,0.7333684
4,10,Christopher,Chtirsopher,0.77775174
4,11,Christopher,Chtirsopher,0.7826301
4,12,Christopher,Chtirsopher,0.77226114
4,13,Christopher,Chtirsopher,0.7462232
4,14,Christopher,Chtirsopher,0.77059835
4,15,Christopher,Chtirsopher,0.7937736
4,16,Christopher,Chtirsopher,0.8027215
7,0,Destination,Detisnation,0.179894
7,1,Destination,Detisnation,0.261701
7,2,Destination,Detisnation,0.25958103
7,3,Destination,Detisnation,0.35674262
7,4,Destination,Detisnation,0.37490314
7,5,Destination,Detisnation,0.37815124
7,6,Destination,Detisnation,0.5258955
7,7,Destination,Detisnation,0.5584539
7,8,Destination,Detisnation,0.62042224
7,9,Destination,Detisnation,0.5888121
7,10,Destination,Detisnation,0.60669327
7,11,Destination,Detisnation,0.5708922
7,12,Destination,Detisnation,0.54412603
7,13,Destination,Detisnation,0.5378775
7,14,Destination,Detisnation,0.6413801
7,15,Destination,Detisnation,0.688125
7,16,Destination,Detisnation,0.67288256
8,0,compression,compresosin,-0.039114524
8,1,compression,compresosin,0.13389492
8,2,compression,compresosin,0.20156716
8,3,compression,compresosin,0.2891791
8,4,compression,compresosin,0.32985693
8,5,compression,compresosin,0.3690305
8,6,compression,compresosin,0.39935604
8,7,compression,compresosin,0.4187799
8,8,compression,compresosin,0.4714446
8,9,compression,compresosin,0.4432404
8,10,compression,compresosin,0.5258029
8,11,compression,compresosin,0.45184785
8,12,compression,compresosin,0.51771706
8,13,compression,compresosin,0.54844266
8,14,compression,compresosin,0.6070914
8,15,compression,compresosin,0.61669874
8,16,compression,compresosin,0.74400234
9,0,represented,repreesnted,-0.0141790155
9,1,represented,repreesnted,0.21767129
9,2,represented,repreesnted,0.38618663
9,3,represented,repreesnted,0.606115
9,4,represented,repreesnted,0.6788181
9,5,represented,repreesnted,0.6935717
9,6,represented,repreesnted,0.74589086
9,7,represented,repreesnted,0.8008048
9,8,represented,repreesnted,0.8284253
9,9,represented,repreesnted,0.8471854
9,10,represented,repreesnted,0.8709055
9,11,represented,repreesnted,0.8622637
9,12,represented,repreesnted,0.8446431
9,13,represented,repreesnted,0.8298061
9,14,represented,repreesnted,0.8146358
9,15,represented,repreesnted,0.8295417
9,16,represented,repreesnted,0.8935733
10,0,International,Interitanonal,0.029318927
10,1,International,Interitanonal,0.19204897
10,2,International,Interitanonal,0.1968312
10,3,International,Interitanonal,0.25732434
10,4,International,Interitanonal,0.36055982
10,5,International,Interitanonal,0.41149646
10,6,International,Interitanonal,0.40969867
10,7,International,Interitanonal,0.45174342
10,8,International,Interitanonal,0.5320644
10,9,International,Interitanonal,0.5987697
10,10,International,Interitanonal,0.69351166
10,11,International,Interitanonal,0.74801886
10,12,International,Interitanonal,0.77363634
10,13,International,Interitanonal,0.79563636
10,14,International,Interitanonal,0.82312715
10,15,International,Interitanonal,0.83391595
10,16,International,Interitanonal,0.8606566
11,0,construction,costnruction,0.10832985
11,1,construction,costnruction,0.32147372
11,2,construction,costnruction,0.40238363
11,3,construction,costnruction,0.51040787
11,4,construction,costnruction,0.61495054
11,5,construction,costnruction,0.6382675
11,6,construction,costnruction,0.7041701
11,7,construction,costnruction,0.75724876
11,8,construction,costnruction,0.81966084
11,9,construction,costnruction,0.8067602
11,10,construction,costnruction,0.86001617
11,11,construction,costnruction,0.87058794
11,12,construction,costnruction,0.8919808
11,13,construction,costnruction,0.9145887
11,14,construction,costnruction,0.92108464
11,15,construction,costnruction,0.92677337
11,16,construction,costnruction,0.9362588
12,0,Introduction,Indourtction,0.04827141
12,1,Introduction,Indourtction,0.16743277
12,2,Introduction,Indourtction,0.22650987
12,3,Introduction,Indourtction,0.28410178
12,4,Introduction,Indourtction,0.31201115
12,5,Introduction,Indourtction,0.39432904
12,6,Introduction,Indourtction,0.5275438
12,7,Introduction,Indourtction,0.5700394
12,8,Introduction,Indourtction,0.64847827
12,9,Introduction,Indourtction,0.6507207
12,10,Introduction,Indourtction,0.6888867
12,11,Introduction,Indourtction,0.6889856
12,12,Introduction,Indourtction,0.73336387
12,13,Introduction,Indourtction,0.7850544
12,14,Introduction,Indourtction,0.80603695
12,15,Introduction,Indourtction,0.8243449
12,16,Introduction,Indourtction,0.9023667
14,0,development,devemolpent,0.0034942077
14,1,development,devemolpent,0.11419545
14,2,development,devemolpent,0.15648131
14,3,development,devemolpent,0.3097398
14,4,development,devemolpent,0.36759588
14,5,development,devemolpent,0.4426549
14,6,development,devemolpent,0.53357303
14,7,development,devemolpent,0.5485298
14,8,development,devemolpent,0.6026614
14,9,development,devemolpent,0.6023023
14,10,development,devemolpent,0.6463938
14,11,development,devemolpent,0.6226307
14,12,development,devemolpent,0.6387986
14,13,development,devemolpent,0.6918848
14,14,development,devemolpent,0.730098
14,15,development,devemolpent,0.7673179
14,16,development,devemolpent,0.8701587
15,0,engineering,engierening,0.046242952
15,1,engineering,engierening,0.23265201
15,2,engineering,engierening,0.34397602
15,3,engineering,engierening,0.39483145
15,4,engineering,engierening,0.3584695
15,5,engineering,engierening,0.36206555
15,6,engineering,engierening,0.41976365
15,7,engineering,engierening,0.43736988
15,8,engineering,engierening,0.47638547
15,9,engineering,engierening,0.49110797
15,10,engineering,engierening,0.59731436
15,11,engineering,engierening,0.6032845
15,12,engineering,engierening,0.64559996
15,13,engineering,engierening,0.6998533
15,14,engineering,engierening,0.7212006
15,15,engineering,engierening,0.76189744
15,16,engineering,engierening,0.82840675
22,0,performance,perforamnce,0.042455573
22,1,performance,perforamnce,0.11257876
22,2,performance,perforamnce,0.20917293
22,3,performance,perforamnce,0.36177197
22,4,performance,perforamnce,0.4912927
22,5,performance,perforamnce,0.63017154
22,6,performance,perforamnce,0.6822911
22,7,performance,perforamnce,0.71902096
22,8,performance,perforamnce,0.7523762
22,9,performance,perforamnce,0.7926231
22,10,performance,perforamnce,0.8499445
22,11,performance,perforamnce,0.8713412
22,12,performance,perforamnce,0.8644304
22,13,performance,perforamnce,0.8875605
22,14,performance,perforamnce,0.90468633
22,15,performance,perforamnce,0.92103225
22,16,performance,perforamnce,0.95803756
23,0,distributed,distibruted,0.06433467
23,1,distributed,distibruted,0.2697264
23,2,distributed,distibruted,0.46854153
23,3,distributed,distibruted,0.61177886
23,4,distributed,distibruted,0.6330399
23,5,distributed,distibruted,0.5934573
23,6,distributed,distibruted,0.63237816
23,7,distributed,distibruted,0.65112734
23,8,distributed,distibruted,0.7227073
23,9,distributed,distibruted,0.76465714
23,10,distributed,distibruted,0.7901182
23,11,distributed,distibruted,0.80593204
23,12,distributed,distibruted,0.81717336
23,13,distributed,distibruted,0.8395213
23,14,distributed,distibruted,0.8653939
23,15,distributed,distibruted,0.87801486
23,16,distributed,distibruted,0.9320384
25,0,Traditional,Tairdtional,0.099088416
25,1,Traditional,Tairdtional,0.26992676
25,2,Traditional,Tairdtional,0.26421797
25,3,Traditional,Tairdtional,0.3802538
25,4,Traditional,Tairdtional,0.46156478
25,5,Traditional,Tairdtional,0.4844993
